,Produk,produkindo,produkmui,produsen,sertif,nilai
292,X'tragin Minuman Es Kunyit Asam + Madu|Minuman kunyit asam|Herbal desa nikkel|06120015350320|0.3,X'tragin Minuman Es Kunyit Asam + Madu,Minuman kunyit asam,Herbal desa nikkel,06120015350320,0.3
294,X'tragin Minuman Jahe + Madu|Exstrak jahe merah + madu renny 100 gr|Renny|06120017200321|0.3,X'tragin Minuman Jahe + Madu,Exstrak jahe merah + madu renny 100 gr,Renny,06120017200321,0.3
609,Indomaret Teh Daun Jawa Oolong Jasmine|Teh jawa oolong 63|Pt. eka bogainti|00160048830908|0.3,Indomaret Teh Daun Jawa Oolong Jasmine,Teh jawa oolong 63,Pt. eka bogainti,00160048830908,0.3
303,Lo Han Kuo Minuman Infusion|Komix lo han kuo +|Pt. bintang toedjoe| 00130089980818|0.3,Lo Han Kuo Minuman Infusion,Komix lo han kuo +,Pt. bintang toedjoe, 00130089980818,0.3
371,Lay's Snack Potato Chips Bbq Fiesta|Hana snack potato bambu rasa bbq|Rdmk hana snack|15100026040817|0.3,Lay's Snack Potato Chips Bbq Fiesta,Hana snack potato bambu rasa bbq,Rdmk hana snack,15100026040817,0.3
533,Happytos Snack Tortilla Chips Roasted Corn|Choose fun corn chips roasted corn|Pt. dua kelinci|00100017571001|0.3,Happytos Snack Tortilla Chips Roasted Corn,Choose fun corn chips roasted corn,Pt. dua kelinci,00100017571001,0.3
687,Rebo Kuaci Original|Kuaci biji bunga matahari rebo original|Pt. gumindo boga manis|171000000330312|0.3,Rebo Kuaci Original,Kuaci biji bunga matahari rebo original,Pt. gumindo boga manis,171000000330312,0.3
683,Roma Arden Cookies Choco Splendid|Roma arden butter cookies|Pt. mayora indah tbk|00100014301200|0.3,Roma Arden Cookies Choco Splendid,Roma arden butter cookies,Pt. mayora indah tbk,00100014301200,0.3
322,Milo Healthy Drink 3 In 1 Actigen-E|Roti 3 in 1|Ibuku bakery|15160037920619|0.3,Milo Healthy Drink 3 In 1 Actigen-E,Roti 3 in 1,Ibuku bakery,15160037920619,0.3
328,Indomilk Susu Cair Uht Chocolate|Susu cair indomilk|Pt. pioneerindo gourmet international tbk| 00160075770216|0.3,Indomilk Susu Cair Uht Chocolate,Susu cair indomilk,Pt. pioneerindo gourmet international tbk, 00160075770216,0.3
665,Indofood Sambal Ala Bangkok Asam Manis|Sambal ala bangkok ahsan|Pd. surabraja putra|01061259970321|0.3,Indofood Sambal Ala Bangkok Asam Manis,Sambal ala bangkok ahsan,Pd. surabraja putra,01061259970321,0.3
334,Morinaga Chil School Susu Pertumbuhan Vanila|Chil school platinum vanila|Pt. sanghiang perkasa|00040011611299|0.3,Morinaga Chil School Susu Pertumbuhan Vanila,Chil school platinum vanila,Pt. sanghiang perkasa,00040011611299,0.3
347,Happytos Snack Tortilla Chips Jagung Bakar|Ceumilanku basreng rasa jagung bakar|Intan snack|01101256731220|0.3,Happytos Snack Tortilla Chips Jagung Bakar,Ceumilanku basreng rasa jagung bakar,Intan snack,01101256731220,0.3
646,Palmia Royal Butter Margarine|Margarin butter royal palmia|Pt. salim ivomas pratama tbk|00080004170399|0.3,Palmia Royal Butter Margarine,Margarin butter royal palmia,Pt. salim ivomas pratama tbk,00080004170399,0.3
627,Silky Pudding Puding Bubuk Chocolate|Premix silky pudding - chocolate|Pt. maquis indonesia|00210114030121|0.3,Silky Pudding Puding Bubuk Chocolate,Premix silky pudding - chocolate,Pt. maquis indonesia,00210114030121,0.3
161,Nescafe Ice Coffee Mocha|Nescafe dolce gusto ice coffee blend|Nestlé uk ltd|00120081120217|0.3,Nescafe Ice Coffee Mocha,Nescafe dolce gusto ice coffee blend,Nestlé uk ltd,00120081120217,0.3
746,Oishi Snack Kraker Udang Pedas|Udang masak pedas|Aulia milano snack &amp; katering|15160042751119|0.3,Oishi Snack Kraker Udang Pedas,Udang masak pedas,Aulia milano snack &amp; katering,15160042751119,0.3
526,Jetz Snack Hollow Paprika|Jetz hollow paprika / rasa paprika|Pt indofood fortuna makmur|00100037591205|0.3,Jetz Snack Hollow Paprika,Jetz hollow paprika / rasa paprika,Pt indofood fortuna makmur,00100037591205,0.3
23,Swiss Miss Dark Chocolate Drink|Beng-beng drink dark chocolate|Pt. torabika eka semesta|00120015840601|0.3,Swiss Miss Dark Chocolate Drink,Beng-beng drink dark chocolate,Pt. torabika eka semesta,00120015840601,0.3
465,Fitchips Multigrain Chips Cheese & Herbs|Fitchips cheese and herbs|Pt. sanghiang perkasa|00100078440816|0.3,Fitchips Multigrain Chips Cheese & Herbs,Fitchips cheese and herbs,Pt. sanghiang perkasa,00100078440816,0.3
76,Indomilk Kental Manis Putih|Krimer  kental manis cokelat - indomilk can|Pt. indolakto|00040009041098|0.3,Indomilk Kental Manis Putih,Krimer  kental manis cokelat - indomilk can,Pt. indolakto,00040009041098,0.3
20,Kapal Api Krim Kafe Non Dairy Creamer|Non dairy creamer|Pt. hakiki donarta| 00120078360816|0.3,Kapal Api Krim Kafe Non Dairy Creamer,Non dairy creamer,Pt. hakiki donarta, 00120078360816,0.3
144,Aik Cheong White Coffee Original|M'prezzo white coffee original|Pt. agung food industrindo|00120106130820|0.3,Aik Cheong White Coffee Original,M'prezzo white coffee original,Pt. agung food industrindo,00120106130820,0.3
553,Anlene Susu Bubuk Hi-Calcium Actifit Coklat|Anlene actifit coklat|Pt. fonterra brands indonesia|00040048380708|0.3,Anlene Susu Bubuk Hi-Calcium Actifit Coklat,Anlene actifit coklat,Pt. fonterra brands indonesia,00040048380708,0.3
77,Indomilk Kental Manis Coklat|Krimer  kental manis cokelat - indomilk can|Pt. indolakto|00040009041098|0.3,Indomilk Kental Manis Coklat,Krimer  kental manis cokelat - indomilk can,Pt. indolakto,00040009041098,0.3
517,Kartika Toast Bagelan Butter|Kartika sari bagelen toast butter|Pt. trans retail indonesia|00160095720519|0.3,Kartika Toast Bagelan Butter,Kartika sari bagelen toast butter,Pt. trans retail indonesia,00160095720519,0.3
100,"Khong Guan Wafer Stick Chocolate|Fenisia chocolate wafer stick|Bangun anugerah persada, pt.|07100041411017|0.3",Khong Guan Wafer Stick Chocolate,Fenisia chocolate wafer stick,"Bangun anugerah persada, pt.",07100041411017,0.3
111,Nabati Bisvit Marie Sandwich Cheese Cream|Biskuat/tiger sandwich cheese cream|Mondelez indonesia manufacturing|00100039270306|0.3,Nabati Bisvit Marie Sandwich Cheese Cream,Biskuat/tiger sandwich cheese cream,Mondelez indonesia manufacturing,00100039270306,0.3
113,Delfi Wafer Stick Twister Minis Choco Cream|Delfi twister minis chocolate|Pt. ceres|00100029330404|0.3,Delfi Wafer Stick Twister Minis Choco Cream,Delfi twister minis chocolate,Pt. ceres,00100029330404,0.3
516,Kartika Toast Bagelan Cheese|Kartika sari bagelen toast cheese|Pt. trans retail indonesia|00160095720519|0.3,Kartika Toast Bagelan Cheese,Kartika sari bagelen toast cheese,Pt. trans retail indonesia,00160095720519,0.3
125,Good Time Cookies Chocochips Double Choc|Cookies good time|Pt. merek indah lestari|09160013010220|0.3,Good Time Cookies Chocochips Double Choc,Cookies good time,Pt. merek indah lestari,09160013010220,0.3
761,Nissin Crackers Crispy|Nissin - krekers ( crispy crackers )|Pt. nissin biscuits indonesia|00100039300306|0.3,Nissin Crackers Crispy,Nissin - krekers ( crispy crackers ),Pt. nissin biscuits indonesia,00100039300306,0.3
551,Anlene Susu Bubuk Hi-Calsium Actifit Vanila|Anlene actifit vanila|Pt. fonterra brands indonesia|00040048380708|0.3,Anlene Susu Bubuk Hi-Calsium Actifit Vanila,Anlene actifit vanila,Pt. fonterra brands indonesia,00040048380708,0.3
5,Aqua Air Mineral Click N Go Kids|Air mineral botol aqua|Kampung kecil|00160097550719|0.3,Aqua Air Mineral Click N Go Kids,Air mineral botol aqua,Kampung kecil,00160097550719,0.3
455,Garuda Snack Potato Daging Sapi Bbq|Daging sapi bbq|Pt. katering makanan indonesia|00340074090915|0.3,Garuda Snack Potato Daging Sapi Bbq,Daging sapi bbq,Pt. katering makanan indonesia,00340074090915,0.3
773,"Naraya Oat Choco (10'S)|Naraya oat choco yogurt flavour|Fujian fupaiyuan foodstuff corp.,ltd|00110080291216|0.3",Naraya Oat Choco (10'S),Naraya oat choco yogurt flavour,"Fujian fupaiyuan foodstuff corp.,ltd",00110080291216,0.3
766,Nissin Biscuit Gabin|Nissin biskuit gabin|Pt. jadi abadi corak biscuit factory indonesia| 00100039350306|0.3,Nissin Biscuit Gabin,Nissin biskuit gabin,Pt. jadi abadi corak biscuit factory indonesia, 00100039350306,0.3
883,Shoon Fatt Lavish Crackers Vegetable|Shoon fatt lavish vegetable crackers / krekers rasa sayuran (biscuit lavish vegetable crackers)|Shoon fatt biscuit &amp; confectionery factory sdn. bhd.|00100077930716|0.29411764705882354,Shoon Fatt Lavish Crackers Vegetable,Shoon fatt lavish vegetable crackers / krekers rasa sayuran (biscuit lavish vegetable crackers),Shoon fatt biscuit &amp; confectionery factory sdn. bhd.,00100077930716,0.29411764705882354
880,Shoon Fatt Lavish Sandwich Chocolate|Shoon fatt lavish chocolate sandwich / krekers sandwich rasa cokelat (biscuit lavish chocolate sandwich)|Shoon fatt biscuit &amp; confectionery factory sdn. bhd.|00100077930716|0.29411764705882354,Shoon Fatt Lavish Sandwich Chocolate,Shoon fatt lavish chocolate sandwich / krekers sandwich rasa cokelat (biscuit lavish chocolate sandwich),Shoon fatt biscuit &amp; confectionery factory sdn. bhd.,00100077930716,0.29411764705882354
1011,Frozz Candy Cherry Mint|Frozz anggur mint|Pt. konimex|00110019820402|0.2857142857142857,Frozz Candy Cherry Mint,Frozz anggur mint,Pt. konimex,00110019820402,0.2857142857142857
1004,Alpenliebe Candy Chocolate Caramel Eclairs|Caramel chocolate|Java bakery|15200037940619|0.2857142857142857,Alpenliebe Candy Chocolate Caramel Eclairs,Caramel chocolate,Java bakery,15200037940619,0.2857142857142857
363,Loacker Wafer Quadratini Cappuccino|Wafer roll cappuccino|Pt. dua kelinci|00100017571001|0.2857142857142857,Loacker Wafer Quadratini Cappuccino,Wafer roll cappuccino,Pt. dua kelinci,00100017571001,0.2857142857142857
916,Roma Biscuit Sari Gandum Sandwich Susu & Cokelat|Sari gandum sandwich susu &amp; coklat|Pt. mayora indah tbk|00100014301200|0.2857142857142857,Roma Biscuit Sari Gandum Sandwich Susu & Cokelat,Sari gandum sandwich susu &amp; coklat,Pt. mayora indah tbk,00100014301200,0.2857142857142857
362,Loacker Wafer Cream kakao|Cheeze wafer cream|Pt. unimos|00100083330617|0.2857142857142857,Loacker Wafer Cream kakao,Cheeze wafer cream,Pt. unimos,00100083330617,0.2857142857142857
358,Loacker Wafer Quadratini Dark Chocolate|Chokato dark chocolate 100%|Chokato|13130026941120|0.2857142857142857,Loacker Wafer Quadratini Dark Chocolate,Chokato dark chocolate 100%,Chokato,13130026941120,0.2857142857142857
360,Loacker Wafer Quadratini Chocolate|Casak wafer chocolate|Pt. ceres|00100029330404|0.2857142857142857,Loacker Wafer Quadratini Chocolate,Casak wafer chocolate,Pt. ceres,00100029330404,0.2857142857142857
962,Tango Wafer Cokelat|Wafer tango|Pt. decha mandiri sejahtera|01341259990321|0.2857142857142857,Tango Wafer Cokelat,Wafer tango,Pt. decha mandiri sejahtera,01341259990321,0.2857142857142857
997,"Indomaret Dehydrated Mix Fruit|Jus mix fruit|Sari bahari,resto.|15160009980114|0.2857142857142857",Indomaret Dehydrated Mix Fruit,Jus mix fruit,"Sari bahari,resto.",15160009980114,0.2857142857142857
999,Indomaret Cream Crackers|Hwa tai cream crackers|Hwa tai industries berhad|00100086690118|0.2857142857142857,Indomaret Cream Crackers,Hwa tai cream crackers,Hwa tai industries berhad,00100086690118,0.2857142857142857
467,Fitchips Multigrain Chips Seaweed|Fitchips seaweed|Pt. sanghiang perkasa|00100078440816|0.2857142857142857,Fitchips Multigrain Chips Seaweed,Fitchips seaweed,Pt. sanghiang perkasa,00100078440816,0.2857142857142857
966,Tango Wafer Bubblegum|Wafer tango|Pt. decha mandiri sejahtera|01341259990321|0.2857142857142857,Tango Wafer Bubblegum,Wafer tango,Pt. decha mandiri sejahtera,01341259990321,0.2857142857142857
971,Indomaret Snack Kuku Macan|Amplang kuku macan|Sinar terang|10100004910313|0.2857142857142857,Indomaret Snack Kuku Macan,Amplang kuku macan,Sinar terang,10100004910313,0.2857142857142857
441,Greenday For Kids Crispy Strawberry|Kripon strawberry crispy|Pprinsmg kripon|15100041571019|0.2857142857142857,Greenday For Kids Crispy Strawberry,Kripon strawberry crispy,Pprinsmg kripon,15100041571019,0.2857142857142857
434,Bon Cabe Snack Makaroni Level 15|Makaroni zalwa|Zalwa snack|02120013880919|0.2857142857142857,Bon Cabe Snack Makaroni Level 15,Makaroni zalwa,Zalwa snack,02120013880919,0.2857142857142857
980,Indomaret Mini Bagelen Keju|Bagelen keju|Tsabita halal boga|15160023880217|0.2857142857142857,Indomaret Mini Bagelen Keju,Bagelen keju,Tsabita halal boga,15160023880217,0.2857142857142857
355,Lotte Snack Biscuit Koala Chocolate|Emmh snack chocolate|Emmh snack indonesia|07100071130120|0.2857142857142857,Lotte Snack Biscuit Koala Chocolate,Emmh snack chocolate,Emmh snack indonesia,07100071130120,0.2857142857142857
981,Indomaret Mini Bagelen Cokelat|Indomaret mino cokelat|Pt. gita|15100000720307|0.2857142857142857,Indomaret Mini Bagelen Cokelat,Indomaret mino cokelat,Pt. gita,15100000720307,0.2857142857142857
430,Chiki Snack Balls Cheese|Cheese stick fadiyaz snack|Pbpjphsmg fadiyaz snack|15100062881020|0.2857142857142857,Chiki Snack Balls Cheese,Cheese stick fadiyaz snack,Pbpjphsmg fadiyaz snack,15100062881020,0.2857142857142857
424,Chiki Snack Balls Choco|Emmh snack choco milk|Emmh snack indonesia|07100071130120|0.2857142857142857,Chiki Snack Balls Choco,Emmh snack choco milk,Emmh snack indonesia,07100071130120,0.2857142857142857
418,Cho-Cho Wafer Snack Chocolate Strawberry|Emmh snack chocolate|Emmh snack indonesia|07100071130120|0.2857142857142857,Cho-Cho Wafer Snack Chocolate Strawberry,Emmh snack chocolate,Emmh snack indonesia,07100071130120,0.2857142857142857
458,Garuda Snack Pilus Mi Goreng|Pilus goreng|Ud denpasar|09100008550417|0.2857142857142857,Garuda Snack Pilus Mi Goreng,Pilus goreng,Ud denpasar,09100008550417,0.2857142857142857
402,Doritos Snack Barbeque|Keripik talas barbeque merak|Pprinslt merak snack|15100044071219|0.2857142857142857,Doritos Snack Barbeque,Keripik talas barbeque merak,Pprinslt merak snack,15100044071219,0.2857142857142857
401,Doritos Snack Nacho Cheese|Cheese stick fadiyaz snack|Pbpjphsmg fadiyaz snack|15100062881020|0.2857142857142857,Doritos Snack Nacho Cheese,Cheese stick fadiyaz snack,Pbpjphsmg fadiyaz snack,15100062881020,0.2857142857142857
398,Doritos Snack Roasted Corn|Roasted corn (rtc-01)|Pt. jinyoung|00190040010506|0.2857142857142857,Doritos Snack Roasted Corn,Roasted corn (rtc-01),Pt. jinyoung,00190040010506,0.2857142857142857
387,Krisbee Snack French Fries|French fries|Pt. dayatama polanusa|05160015320818|0.2857142857142857,Krisbee Snack French Fries,French fries,Pt. dayatama polanusa,05160015320818,0.2857142857142857
356,Loacker Wafer Quadratini Vanilla|Casak wafer vanilla|Pt. ceres|00100029330404|0.2857142857142857,Loacker Wafer Quadratini Vanilla,Casak wafer vanilla,Pt. ceres,00100029330404,0.2857142857142857
775,Naraya Kuaci Rempah|Naraya kuaci|Pt. hoki sukses mandiri|09100011340419|0.2857142857142857,Naraya Kuaci Rempah,Naraya kuaci,Pt. hoki sukses mandiri,09100011340419,0.2857142857142857
776,Naraya Kuaci Kakopi|Naraya kuaci|Pt. hoki sukses mandiri|09100011340419|0.2857142857142857,Naraya Kuaci Kakopi,Naraya kuaci,Pt. hoki sukses mandiri,09100011340419,0.2857142857142857
1030,Nano Nano Candy Milky Vanilla|Nano nano milky coklat|Pt. konimex|00110019820402|0.2857142857142857,Nano Nano Candy Milky Vanilla,Nano nano milky coklat,Pt. konimex,00110019820402,0.2857142857142857
197,Chitato Snack Potato Chips Asli|Dlala original potato chips|Dlala|00100115540221|0.2857142857142857,Chitato Snack Potato Chips Asli,Dlala original potato chips,Dlala,00100115540221,0.2857142857142857
189,Gery Crackers Malkist Saluut Double Cheese|Gery saluut malkist salut cheese savoury|Pt. garudafood putra putri jaya tbk|00100014221200|0.2857142857142857,Gery Crackers Malkist Saluut Double Cheese,Gery saluut malkist salut cheese savoury,Pt. garudafood putra putri jaya tbk,00100014221200,0.2857142857142857
1160,Indomie Mi Instan Soto Spesial|Indomie mi instan rasa soto|Pt. indofood cbp sukses makmur tbk divisi noodle|00090000300799|0.2857142857142857,Indomie Mi Instan Soto Spesial,Indomie mi instan rasa soto,Pt. indofood cbp sukses makmur tbk divisi noodle,00090000300799,0.2857142857142857
179,Aim Crackers Roasted Corn|Roasted corn (rtc-01)|Pt. jinyoung|00190040010506|0.2857142857142857,Aim Crackers Roasted Corn,Roasted corn (rtc-01),Pt. jinyoung,00190040010506,0.2857142857142857
166,Luwak White Koffie Original|Luwak white coffee|Kedai suka-suka|06160015660320|0.2857142857142857,Luwak White Koffie Original,Luwak white coffee,Kedai suka-suka,06160015660320,0.2857142857142857
163,Nescafe Coffee Latte Drink Eclair|Gambino syrup coffee latte|Gambino coffee|00120088760518|0.2857142857142857,Nescafe Coffee Latte Drink Eclair,Gambino syrup coffee latte,Gambino coffee,00120088760518,0.2857142857142857
1181,Pronas Luncheon Ayam|Belfoods uenaaak luncheon ayam|Pt. belfoods indonesia|00010026501003|0.2857142857142857,Pronas Luncheon Ayam,Belfoods uenaaak luncheon ayam,Pt. belfoods indonesia,00010026501003,0.2857142857142857
1196,Abc Sardines Tomat|Saus tomat abc (indofood)|Dalton makassar|06350013040419|0.2857142857142857,Abc Sardines Tomat,Saus tomat abc (indofood),Dalton makassar,06350013040419,0.2857142857142857
1216,Kokita Tauco Super|Kokita - tauco|Pt. ikafood putramas|00060038010106|0.2857142857142857,Kokita Tauco Super,Kokita - tauco,Pt. ikafood putramas,00060038010106,0.2857142857142857
115,Arnott's Biscuit Venezia Assorted|Bellagio biscuit  assorted|Pt. inkubisc|00100077860716|0.2857142857142857,Arnott's Biscuit Venezia Assorted,Bellagio biscuit  assorted,Pt. inkubisc,00100077860716,0.2857142857142857
95,Kraft Sandwich Mini Oreo Strawberry|Mini sandwich|Cv. kenanga|00340105590720|0.2857142857142857,Kraft Sandwich Mini Oreo Strawberry,Mini sandwich,Cv. kenanga,00340105590720,0.2857142857142857
59,"Buavita Juice Mini Guava|Guava juice|Dwi jaya, cv|08120002140808|0.2857142857142857",Buavita Juice Mini Guava,Guava juice,"Dwi jaya, cv",08120002140808,0.2857142857142857
58,Buavita Juice Slim Apple|Apple juice powder|Huisong pharmaceuticals|00120057041210|0.2857142857142857,Buavita Juice Slim Apple,Apple juice powder,Huisong pharmaceuticals,00120057041210,0.2857142857142857
52,"Diamond Juice Unsweet Guava|Guava juice|Dwi jaya, cv|08120002140808|0.2857142857142857",Diamond Juice Unsweet Guava,Guava juice,"Dwi jaya, cv",08120002140808,0.2857142857142857
